"{HEADER - DO NOT DELETE THIS LINE, OR ROWS IN ALL CAPS - USE TWO COLUMNS ONLY  }",,,,,,,,,,,
EXAM NAME,Purdue M1 MRT,,,,,,,,,,
EXAM DESCRIPTION,Purdue MRT with male english speaker masked by babble,,,,,,,,,,
MEDIA FOLDER,/MyMRTAudio/,,,,,,,,,,
CAL TONE FILENAME,MyCalTone.wav,,,,,,,,,,
CAL TONE LEVEL DBSPL,40,,,,,,,,,,
CAL TONE USE META RMS,TRUE,,,,,,,,,,
OUTPUT CHANNELS,HPL0,HPR0,,,,,,,,,
RANDOMIZE TRIALS,TRUE,,,,,,,,,,
created,12/2/2024,,,,,,,,,,
source,NIST ver-0.1.1,,,,,,,,,,
presentation phrase,"""Please select the word ___""",,,,,,,,,,
"{TRIALS - DO NOT DELETE THIS LINE, OR COLUMNS IN ALL CAPS}",,,,,,,,,,,
TRIALNUM,FILENAME,LEVEL DBSPL,USE META RMS,CHOICES,ANSWER,SNR,box id,gender,speaker id,masking type,My Notes
1,PurdueMRT/MRT_EM_trial1_96kHz.wav,40,TRUE,"pat, pad, pan, path, pack, pass",3,6,,,,,
2,PurdueMRT/MRT_EM_trial2_96kHz.wav,40,TRUE,"must, bust, gust, rust, dust, just",3,0,,,,,
3,PurdueMRT/MRT_EM_trial3_96kHz.wav,40,TRUE,"sum, sun, sung, sup, sub, sud",3,-6,,,,,
4,PurdueMRT/MRT_EM_trial4_96kHz.wav,40,TRUE,"dip, sip, hip, tip, lip, rip",3,-12,,,,,
5,PurdueMRT/MRT_EM_trial5_96kHz.wav,40,TRUE,"hark, dark, mark, bark, park, lark",4,-18,,,,,
6,PurdueMRT/MRT_EM_trial6_96kHz.wav,40,TRUE,"went, sent, bent, dent, tent, rent",5,-24,,,,,
