"{DATA - DO NOT DELETE THIS LINE, OR ROWS IN ALL CAPS - USE THREE COLUMNS ONLY  }"
X,YMIN,YMAX
210.9375,0.030358821,0.131145697
234.375,0.048629916,0.14911391
257.8125,0.050643828,0.166631476
281.25,0.055438381,0.181847509
304.6875,0.059496046,0.202505094
328.125,0.065821415,0.231060007
351.5625,0.073843677,0.251131541
375,0.085369943,0.258990793
398.4375,0.094121138,0.27601672
421.875,0.106666232,0.300139246
445.3125,0.111765742,0.320341906
468.75,0.126168838,0.355378724
492.1875,0.137065444,0.376177994
515.625,0.145994164,0.403272498
539.0625,0.159917495,0.428187679
562.5,0.17042173,0.45449469
585.9375,0.184376662,0.471238386
609.375,0.193966,0.49009633
632.8125,0.207335914,0.509089216
656.25,0.221210144,0.525015404
679.6875,0.231021963,0.540503281
703.125,0.246460092,0.552700056
726.5625,0.261075641,0.571273863
750,0.273502994,0.582436516
773.4375,0.287977614,0.600260122
796.875,0.30126994,0.614132884
820.3125,0.313183571,0.625240743
843.75,0.325400209,0.639398467
867.1875,0.333745812,0.648739848
890.625,0.350454817,0.662155927
914.0625,0.366223867,0.669527197
937.5,0.379000372,0.68243197
960.9375,0.38863666,0.694268298
984.375,0.399374878,0.70285568
1007.8125,0.414225441,0.711830789
1031.25,0.423790613,0.723837977
1054.6875,0.425829481,0.730114355
1078.125,0.43480684,0.73819725
1101.5625,0.437098714,0.749716534
1125,0.441836223,0.758883633
1148.4375,0.44630744,0.7653707
1171.875,0.453559433,0.769704057
1195.3125,0.456623422,0.775400486
1218.75,0.459961955,0.783139307
1242.1875,0.463043774,0.788530032
1265.625,0.461816814,0.790818096
1289.0625,0.472540298,0.789548404
1312.5,0.474414786,0.790230768
1335.9375,0.478299299,0.793529403
1359.375,0.481145247,0.796830757
1382.8125,0.487278411,0.796621239
1406.25,0.487030101,0.796418525
1429.6875,0.493685796,0.797086984
1453.125,0.489727447,0.797267523
1476.5625,0.496446956,0.798212854
1500,0.507813459,0.805342839
1523.4375,0.509135993,0.804142625
1546.875,0.503025977,0.806448271
1570.3125,0.508700332,0.806152176
1593.75,0.51482412,0.806842554
1617.1875,0.514911699,0.808476099
1640.625,0.51433025,0.812794132
1664.0625,0.516884136,0.80949432
1687.5,0.517933079,0.809732413
1710.9375,0.520383111,0.809196409
1734.375,0.521814963,0.809761331
1757.8125,0.525594819,0.810506929
1781.25,0.525972028,0.810797164
1804.6875,0.529497182,0.812777442
1828.125,0.531488627,0.813612173
1851.5625,0.530750428,0.81505205
1875,0.529059215,0.816479401
1898.4375,0.531242575,0.819378507
1921.875,0.532284251,0.820901739
1945.3125,0.532825495,0.821474525
1968.75,0.534763286,0.82311269
1992.1875,0.536662506,0.824007326
2015.625,0.53341419,0.824527668
2039.0625,0.534786746,0.824982012
2062.5,0.534753638,0.82700722
2085.9375,0.535425122,0.828648198
2109.375,0.532653295,0.830766701
2132.8125,0.535221006,0.832751034
2156.25,0.538164722,0.832496552
2179.6875,0.538067053,0.834000339
2203.125,0.538996802,0.8355891
2226.5625,0.539910894,0.835765426
2250,0.54142694,0.836199148
2273.4375,0.541495475,0.837345213
2296.875,0.541667385,0.838415277
2320.3125,0.542243769,0.840898013
2343.75,0.543538348,0.842070544
2367.1875,0.546978287,0.843537815
2390.625,0.549343324,0.845237446
2414.0625,0.551325927,0.846380309
2437.5,0.555409678,0.847949876
2460.9375,0.553991136,0.848930086
2484.375,0.556185312,0.84922321
2507.8125,0.558163628,0.850557274
2531.25,0.559802512,0.850961602
2554.6875,0.56313433,0.851893044
2578.125,0.566910094,0.851284874
2601.5625,0.572177718,0.852983336
2625,0.575310307,0.853563105
2648.4375,0.577256369,0.853342869
2671.875,0.580353983,0.853663977
2695.3125,0.581462471,0.854209273
2718.75,0.584260042,0.85489808
2742.1875,0.587636702,0.855055352
2765.625,0.588406302,0.855566822
2789.0625,0.590036899,0.855650263
2812.5,0.589400647,0.855799557
2835.9375,0.589308608,0.856144074
2859.375,0.589952377,0.855250669
2882.8125,0.591450425,0.854870241
2906.25,0.591268334,0.854546966
2929.6875,0.592970074,0.853812176
2953.125,0.589587096,0.85313335
2976.5625,0.59181149,0.853237808
3000,0.589803411,0.852830125
3023.4375,0.588109331,0.852416729
3046.875,0.58629267,0.851755746
3070.3125,0.583697794,0.84996036
3093.75,0.581373933,0.848700185
3117.1875,0.580114374,0.84774309
3140.625,0.578547006,0.846946808
3164.0625,0.57443781,0.845776638
3187.5,0.574101122,0.844225234
3210.9375,0.570218559,0.842453431
3234.375,0.566238882,0.841625654
3257.8125,0.564031665,0.839930035
3281.25,0.560833349,0.838142785
3304.6875,0.55783135,0.83661452
3328.125,0.554831071,0.835495871
3351.5625,0.549988043,0.833832115
3375,0.546051953,0.832606487
3398.4375,0.542312178,0.830904964
3421.875,0.538405311,0.828266399
3445.3125,0.533940467,0.826737777
3468.75,0.529012059,0.824313361
3492.1875,0.525794769,0.822101879
3515.625,0.521148993,0.819211611
3539.0625,0.519192486,0.817618228
3562.5,0.515856088,0.814365796
3585.9375,0.510335411,0.811248089
3609.375,0.505503048,0.808682794
3632.8125,0.503623098,0.806517126
3656.25,0.501155075,0.803718455
3679.6875,0.496105712,0.799882922
3703.125,0.494076686,0.798642154
3726.5625,0.489649578,0.795174414
3750,0.486495035,0.792859273
3773.4375,0.480089424,0.789247898
3796.875,0.478468915,0.786586867
3820.3125,0.475320603,0.784671093
3843.75,0.473236559,0.782578039
3867.1875,0.468971073,0.779999465
3890.625,0.464555382,0.777047758
3914.0625,0.460134756,0.77377226
3937.5,0.453962099,0.772522975
3960.9375,0.451339354,0.770164338
3984.375,0.448839417,0.767116301
4007.8125,0.445189685,0.765160295
4031.25,0.440899217,0.761520019
4054.6875,0.435270088,0.759771646
4078.125,0.431299669,0.758067227
4101.5625,0.429006714,0.755750176
4125,0.425923343,0.753499091
4148.4375,0.422926471,0.751798065
4171.875,0.41720819,0.748008728
4195.3125,0.411056339,0.746579631
4218.75,0.406197005,0.743144623
4242.1875,0.400160483,0.740959009
4265.625,0.396714118,0.73784126
4289.0625,0.388645226,0.735462314
4312.5,0.382732643,0.733957719
4335.9375,0.372102982,0.73168983
4359.375,0.362670934,0.730422038
4382.8125,0.354406167,0.729989423
4406.25,0.34339286,0.728282422
4429.6875,0.338085058,0.7281512
4453.125,0.32215628,0.731024956
4476.5625,0.311082646,0.731681614
4500,0.296589056,0.737722638
4523.4375,0.292268516,0.736752976
4546.875,0.290734566,0.734611906
4570.3125,0.276740247,0.740272967
4593.75,0.253587251,0.745707483
4617.1875,0.239582926,0.751114552
4640.625,0.224528557,0.754662251
4664.0625,0.223979601,0.749828749
4687.5,0.20725577,0.754202158
4710.9375,0.196034103,0.754076135
4734.375,0.184391937,0.758035015
4757.8125,0.17641033,0.754974024
4781.25,0.161928117,0.759479721
4804.6875,0.166560275,0.753307435
4828.125,0.142647159,0.756997973
4851.5625,0.14208743,0.749408328
4875,0.128573492,0.754933656
4898.4375,0.142199264,0.738332116
4921.875,0.1365937,0.732787282
4945.3125,0.119170326,0.732671778
4968.75,0.128211257,0.718587355
4992.1875,0.123932392,0.712913658
5015.625,0.118984175,0.708182081
5039.0625,0.121498715,0.700774931
5062.5,0.11243535,0.696195562
5085.9375,0.122210346,0.683000532
5109.375,0.103606874,0.684131904
5132.8125,0.111795226,0.67101173
5156.25,0.110187627,0.662712037
5179.6875,0.10501473,0.650107918
5203.125,0.096652269,0.645571039
5226.5625,0.091755998,0.639185252
5250,0.089775099,0.629157383
5273.4375,0.110176867,0.620284043
5296.875,0.102240298,0.613706612
5320.3125,0.08349461,0.611404688
5343.75,0.084129509,0.602665577
5367.1875,0.082663191,0.598506765
5390.625,0.072653454,0.59397944
5414.0625,0.060700804,0.586279172
5437.5,0.063272658,0.582645758
5460.9375,0.079259833,0.573770253
5484.375,0.064166254,0.563409944
5507.8125,0.063255755,0.563435599
5531.25,0.067992241,0.560241581
5554.6875,0.054358174,0.552885948
5578.125,0.051022432,0.552284202
5601.5625,0.040521676,0.561972596
5625,0.02506917,0.556305904
5648.4375,0.015479166,0.554124028
5671.875,0.008131293,0.551457849
5695.3125,0.007665098,0.551180328
5718.75,0,0.551882512
5742.1875,0,0.554430852
5765.625,0,0.559924284
5789.0625,0,0.558896543
5812.5,0,0.559827074
5835.9375,0,0.561319239
5859.375,0,0.557154564
5882.8125,0,0.560952705
5906.25,0,0.567287698
5929.6875,0,0.55922382
5953.125,0,0.550456458
5976.5625,0,0.538184541
6000,0,0.53086967
